Date,Close
02-01-1995,85.3
03-01-1995,84.05
04-01-1995,83
05-01-1995,80.3
06-01-1995,79.2
09-01-1995,75.6
10-01-1995,71.85
11-01-1995,73.8
12-01-1995,69.55
13-01-1995,71.6
16-01-1995,71
17-01-1995,69.3
18-01-1995,70.85
19-01-1995,70.95
20-01-1995,68.1
23-01-1995,62.9
24-01-1995,61.6
25-01-1995,60.6
27-01-1995,64.05
30-01-1995,66.95
31-01-1995,68.1
01-02-1995,65.25
02-02-1995,68.7
03-02-1995,69.75
06-02-1995,67.45
07-02-1995,66.95
08-02-1995,66.65
09-02-1995,69.05
10-02-1995,67.45
13-02-1995,67.15
14-02-1995,67.5
15-02-1995,66.2
16-02-1995,64.1
17-02-1995,63.85
20-02-1995,63.3
21-02-1995,60.6
22-02-1995,60.2
23-02-1995,66.65
24-02-1995,66.65
28-02-1995,67.95
01-03-1995,70.4
02-03-1995,69.55
03-03-1995,71.4
06-03-1995,71
07-03-1995,68.2
08-03-1995,69.9
09-03-1995,72.35
10-03-1995,71.6
13-03-1995,66.75
14-03-1995,68.6
15-03-1995,67.3
16-03-1995,66.7
20-03-1995,65.1
21-03-1995,62.95
22-03-1995,64.5
23-03-1995,64.7
24-03-1995,64.95
27-03-1995,65.35
28-03-1995,66.95
29-03-1995,67.3
30-03-1995,66.9
31-03-1995,66.35
03-04-1995,67
04-04-1995,69.25
05-04-1995,70.4
06-04-1995,71.15
07-04-1995,70.7
10-04-1995,69.95
11-04-1995,68.95
12-04-1995,70.15
17-04-1995,70.6
18-04-1995,69.5
19-04-1995,69.2
20-04-1995,69.75
21-04-1995,69.9
24-04-1995,68.8
25-04-1995,67.6
26-04-1995,68.25
27-04-1995,65.6
28-04-1995,62.5
02-05-1995,57.7
03-05-1995,60.55
04-05-1995,61.8
05-05-1995,61.7
08-05-1995,61.9
09-05-1995,62.1
10-05-1995,61.5
12-05-1995,60.65
15-05-1995,59.7
16-05-1995,59.5
17-05-1995,65.2
18-05-1995,68.2
19-05-1995,68.8
22-05-1995,66.7
23-05-1995,66.3
24-05-1995,65.9
25-05-1995,65.2
26-05-1995,65.65
29-05-1995,66.35
30-05-1995,67.25
31-05-1995,67.95
01-06-1995,69.45
02-06-1995,69.15
05-06-1995,68.7
06-06-1995,69.75
07-06-1995,69.45
08-06-1995,68.8
09-06-1995,68.3
12-06-1995,68.2
13-06-1995,67.95
14-06-1995,67.05
15-06-1995,66.8
16-06-1995,68.1
19-06-1995,68
20-06-1995,68
21-06-1995,68.25
22-06-1995,67.95
23-06-1995,67.2
26-06-1995,65.85
27-06-1995,65.45
28-06-1995,66.75
29-06-1995,66.9
30-06-1995,65.9
03-07-1995,64.25
05-07-1995,64.15
10-07-1995,64.7
11-07-1995,64.4
12-07-1995,65.7
13-07-1995,65.95
14-07-1995,66.1
17-07-1995,66.85
18-07-1995,66.85
19-07-1995,67.4
20-07-1995,68.7
21-07-1995,69.4
24-07-1995,70.75
25-07-1995,72.6
26-07-1995,73.2
27-07-1995,73.4
28-07-1995,69.4
31-07-1995,67
01-08-1995,66.45
03-08-1995,66.7
11-08-1995,65.7
14-08-1995,65.4
16-08-1995,66.45
17-08-1995,66.65
18-08-1995,67
21-08-1995,66.75
22-08-1995,67.4
23-08-1995,67.7
24-08-1995,66.65
25-08-1995,65.8
28-08-1995,64.7
30-08-1995,65.25
31-08-1995,65.8
01-09-1995,66
05-09-1995,65.4
11-09-1995,66.5
12-09-1995,65.4
13-09-1995,65.25
14-09-1995,65.5
15-09-1995,65.4
18-09-1995,65.7
19-09-1995,65.8
20-09-1995,66.2
21-09-1995,66.35
22-09-1995,66.8
25-09-1995,67.8
26-09-1995,68.8
27-09-1995,67.45
28-09-1995,67.5
29-09-1995,68.6
10-10-1995,68.65
11-10-1995,69.15
12-10-1995,68.55
13-10-1995,68.7
16-10-1995,68.6
17-10-1995,68.3
18-10-1995,67
19-10-1995,65.95
20-10-1995,65.15
23-10-1995,63.95
24-10-1995,62.05
25-10-1995,62.6
26-10-1995,60.6
27-10-1995,60.9
30-10-1995,60
31-10-1995,60.55
01-11-1995,64.4
10-11-1995,61.15
13-11-1995,59.85
14-11-1995,58.15
15-11-1995,60.55
16-11-1995,58.9
17-11-1995,58.1
20-11-1995,58.25
21-11-1995,55.1
22-11-1995,55.85
23-11-1995,54.9
24-11-1995,56.1
27-11-1995,54.65
28-11-1995,50.2
29-11-1995,51.6
30-11-1995,56.1
01-12-1995,59.95
08-12-1995,52.5
11-12-1995,50.65
12-12-1995,50.2
13-12-1995,52.5
14-12-1995,51.3
15-12-1995,50.65
18-12-1995,50.5
19-12-1995,50.1
20-12-1995,50.2
21-12-1995,52.9
22-12-1995,52
26-12-1995,50.8
27-12-1995,52.6
28-12-1995,51.8
29-12-1995,51.15
01-01-1996,51.45
02-01-1996,51.05
09-01-1996,47.15
10-01-1996,45.95
11-01-1996,47.4
12-01-1996,46.9
15-01-1996,46.4
16-01-1996,46.5
17-01-1996,44.65
18-01-1996,43.4
19-01-1996,42.65
22-01-1996,43.4
23-01-1996,41.55
24-01-1996,40.1
25-01-1996,38.4
29-01-1996,41.45
30-01-1996,45.15
31-01-1996,44.2
02-02-1996,50.95
12-02-1996,55.55
13-02-1996,58.9
14-02-1996,58.9
15-02-1996,58
16-02-1996,56.95
19-02-1996,57.5
20-02-1996,54.5
22-02-1996,57.35
23-02-1996,56.75
26-02-1996,56.9
27-02-1996,56.2
28-02-1996,56.5
29-02-1996,52.95
01-03-1996,53.25
11-03-1996,54.95
12-03-1996,57.8
13-03-1996,56.8
14-03-1996,56.8
15-03-1996,54.9
18-03-1996,52.4
19-03-1996,49.2
21-03-1996,52.7
22-03-1996,50.6
25-03-1996,50.3
26-03-1996,49.95
27-03-1996,51.7
28-03-1996,52.4
29-03-1996,51.7
01-04-1996,52.2
02-04-1996,52.35
03-04-1996,52.8
04-04-1996,52.15
08-04-1996,53
09-04-1996,53.1
10-04-1996,53.05
11-04-1996,52.5
12-04-1996,53.95
15-04-1996,55.35
16-04-1996,55.45
17-04-1996,57.8
18-04-1996,61
19-04-1996,61.4
22-04-1996,59.45
23-04-1996,59.05
24-04-1996,63.8
25-04-1996,60.6
26-04-1996,61.1
29-04-1996,60.6
30-04-1996,61.15
01-05-1996,66.5
02-05-1996,66.55
03-05-1996,65.05
06-05-1996,61.4
07-05-1996,62.15
08-05-1996,62.5
09-05-1996,60.95
10-05-1996,60.3
13-05-1996,61.6
14-05-1996,63.3
15-05-1996,63.45
16-05-1996,63.8
17-05-1996,62.55
20-05-1996,60.6
21-05-1996,60.4
22-05-1996,60.7
23-05-1996,60.2
24-05-1996,60.75
27-05-1996,59
28-05-1996,57.05
29-05-1996,60.3
30-05-1996,59.2
31-05-1996,59.6
03-06-1996,61.4
04-06-1996,60.55
05-06-1996,60.15
06-06-1996,61.15
07-06-1996,61.1
10-06-1996,60.55
11-06-1996,60.05
12-06-1996,61
13-06-1996,60.7
14-06-1996,61.4
17-06-1996,60.55
18-06-1996,59
19-06-1996,57.2
20-06-1996,57.3
21-06-1996,55.7
24-06-1996,55.25
25-06-1996,54.1
26-06-1996,53.05
27-06-1996,54
28-06-1996,53.4
01-07-1996,52.2
02-07-1996,51.1
03-07-1996,47.65
04-07-1996,47.5
05-07-1996,46.75
08-07-1996,47.15
09-07-1996,44.8
10-07-1996,44.05
11-07-1996,44.15
12-07-1996,42.5
15-07-1996,44.9
16-07-1996,54.2
17-07-1996,55.15
18-07-1996,57.85
19-07-1996,60.7
22-07-1996,59.8
23-07-1996,60.3
24-07-1996,54.45
25-07-1996,52
26-07-1996,52
29-07-1996,53.05
30-07-1996,51.65
31-07-1996,53.45
01-08-1996,52.5
02-08-1996,51.75
05-08-1996,50.95
06-08-1996,51.5
07-08-1996,52.65
08-08-1996,51.6
09-08-1996,52
12-08-1996,52
13-08-1996,52.3
14-08-1996,51.6
16-08-1996,51.6
19-08-1996,49.3
20-08-1996,49.85
21-08-1996,52.35
22-08-1996,52.7
23-08-1996,53.35
26-08-1996,52.3
27-08-1996,51.9
28-08-1996,53.35
29-08-1996,52.85
30-08-1996,52.9
02-09-1996,53.15
03-09-1996,51.85
04-09-1996,51.9
05-09-1996,52.65
06-09-1996,52.2
09-09-1996,51.85
10-09-1996,51.4
11-09-1996,50.8
12-09-1996,50.45
13-09-1996,50
16-09-1996,48.2
17-09-1996,48.95
18-09-1996,51.35
19-09-1996,49.5
20-09-1996,49.2
23-09-1996,48.6
24-09-1996,48.95
25-09-1996,49.3
26-09-1996,48.5
27-09-1996,47.05
30-09-1996,47.75
01-10-1996,47.65
03-10-1996,47.4
04-10-1996,47.65
07-10-1996,46.75
08-10-1996,46.95
09-10-1996,47.55
10-10-1996,48.8
11-10-1996,48.75
14-10-1996,47.3
15-10-1996,47.2
16-10-1996,47.1
17-10-1996,48.3
18-10-1996,48.7
22-10-1996,50.45
23-10-1996,53.4
24-10-1996,52.65
25-10-1996,53.5
28-10-1996,52.9
29-10-1996,52.05
31-10-1996,50.5
01-11-1996,49.2
04-11-1996,47.15
05-11-1996,46.3
06-11-1996,45.7
07-11-1996,46.4
08-11-1996,46.8
10-11-1996,45.8
11-11-1996,45.85
13-11-1996,46.65
14-11-1996,46.05
15-11-1996,46.65
